カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
修正・メンテナンス・fix_系,fix_profitability_account_codes.py,収益性勘定科目コード修正,収益性指標計算用勘定科目コードの修正・利益関連科目コードの精度向上・収益性分析用科目の整合性改善・収益性計算最適化機能,収益性コード修正 + 計算精度,StandardAccount・StandardAccountBalance,1.収益性コード問題特定→2.利益科目分析→3.コード精度改善→4.計算最適化→5.収益性検証→6.収益性コード修正完了,入力：収益性コード問題・計算設定 / 出力：修正済み収益性コード・精度向上・計算改善,収益性コード管理・利益科目精度・計算最適化・収益性改善・コード品質,収益性コードエラー・計算精度問題・利益科目エラー・収益性計算失敗のハンドリング,高速収益性コード修正・効率的な計算改善・収益性最適化
修正・メンテナンス・fix_系,fix_quick_ratio_display.py,当座比率表示修正,当座比率の表示修正・当座比率計算表示の改善・流動性指標表示の統一・当座比率UI最適化機能,当座比率表示修正 + UI改善,StandardAccountBalance・AnalysisResult,1.当座比率表示問題特定→2.比率表示分析→3.UI改善実装→4.表示統一→5.比率表示検証→6.当座比率表示修正完了,入力：当座比率表示問題・UI設定 / 出力：修正済み当座比率表示・UI改善・表示統一,当座比率表示管理・UI最適化・比率表示統一・ユーザビリティ向上・表示品質,当座比率表示エラー・UI問題・表示不整合・比率表示劣化のハンドリング,高速当座比率表示修正・効率的なUI改善・比率表示最適化
修正・メンテナンス・fix_系,fix_radar_chart.py,レーダーチャート修正,財務分析レーダーチャートの修正・チャート表示の改善・レーダーチャートデータの最適化・視覚化品質向上機能,レーダーチャート修正 + 視覚化改善,AnalysisResult,1.レーダーチャート問題特定→2.チャート表示分析→3.視覚化改善→4.データ最適化→5.チャート検証→6.レーダーチャート修正完了,入力：レーダーチャート問題・視覚化設定 / 出力：修正済みレーダーチャート・視覚化改善・チャート最適化,レーダーチャート管理・視覚化品質向上・チャート最適化・データ表現改善・UI品質,レーダーチャートエラー・視覚化問題・チャート表示劣化・データ表現エラーのハンドリング,高速レーダーチャート修正・効率的な視覚化改善・チャート最適化
直接修正処理,direct_fix_ai_endpoints.py,AI機能直接修正,AIエンドポイントの直接修正・AI機能の即座修正・API応答問題の直接解決・AI処理の緊急修正機能,AI直接修正 + 緊急対応,なし,1.AI問題緊急特定→2.直接修正実装→3.即座解決→4.AI機能復旧→5.緊急検証→6.AI直接修正完了,入力：AI緊急問題・修正設定 / 出力：AI直接修正結果・緊急復旧・機能改善,AI緊急対応・直接修正・即座解決・機能復旧・緊急品質保証,AI緊急エラー・直接修正失敗・即座対応問題・機能復旧失敗のハンドリング,最高速AI修正・緊急対応最適化・即座復旧
直接修正処理,direct_fix_efficiency.py,効率性直接修正,効率性指標の直接修正・効率性計算の即座改善・効率性分析の緊急修正・効率性データの直接最適化機能,効率性直接修正 + 即座改善,AnalysisResult・StandardAccountBalance,1.効率性問題緊急特定→2.直接計算修正→3.即座改善→4.効率性復旧→5.緊急検証→6.効率性直接修正完了,入力：効率性緊急問題・修正設定 / 出力：効率性直接修正結果・即座改善・計算復旧,効率性緊急対応・直接計算修正・即座改善・分析復旧・緊急品質保証,効率性緊急エラー・直接修正失敗・計算問題・即座対応失敗のハンドリング,最高速効率性修正・緊急計算改善・即座最適化
直接修正処理,direct_fix_indicators.py,指標直接修正,財務指標の直接修正・指標計算の即座改善・分析結果の緊急修正・指標データの直接最適化機能,指標直接修正 + 即座改善,AnalysisResult,1.指標問題緊急特定→2.直接指標修正→3.即座計算改善→4.指標復旧→5.緊急検証→6.指標直接修正完了,入力：指標緊急問題・修正設定 / 出力：指標直接修正結果・即座改善・計算復旧,指標緊急対応・直接修正・即座改善・計算復旧・緊急品質保証,指標緊急エラー・直接修正失敗・計算問題・即座対応失敗のハンドリング,最高速指標修正・緊急改善・即座最適化
直接修正処理,direct_fix_pl_balances.py,PL残高直接修正,損益計算書残高の直接修正・PL残高の即座改善・損益データの緊急修正・PL計算の直接最適化機能,PL残高直接修正 + 即座改善,StandardAccountBalance,1.PL残高問題緊急特定→2.直接残高修正→3.即座改善→4.PL復旧→5.緊急検証→6.PL残高直接修正完了,入力：PL残高緊急問題・修正設定 / 出力：PL残高直接修正結果・即座改善・計算復旧,PL残高緊急対応・直接修正・即座改善・損益復旧・緊急品質保証,PL残高緊急エラー・直接修正失敗・損益問題・即座対応失敗のハンドリング,最高速PL残高修正・緊急改善・即座最適化
更新・アップデート処理,update_all_safety_indicators.py,全安全性指標更新,全JAの安全性指標を一括更新・自己資本比率・負債比率等の安全性指標アップデート・安全性分析データの全体更新機能,全安全性更新 + 一括処理,AnalysisResult・StandardAccountBalance・JA,1.全JA安全性データ抽出→2.一括安全性計算→3.指標更新→4.品質検証→5.全体整合性確認→6.全安全性更新完了,入力：全JAデータ・安全性設定 / 出力：全安全性指標・更新結果・品質レポート,全安全性管理・一括更新処理・指標統一・品質保証・システム全体最適化,安全性更新エラー・一括処理失敗・品質問題・整合性エラーのハンドリング,高速安全性更新・効率的な一括処理・安全性最適化
更新・アップデート処理,update_analysis_records.py,分析レコード更新,財務分析レコードの更新・分析データの最新化・分析結果レコードの品質向上・分析履歴管理更新機能,分析レコード更新 + 履歴管理,AnalysisResult,1.分析レコード抽出→2.データ最新化→3.品質向上→4.履歴更新→5.レコード検証→6.分析レコード更新完了,入力：分析レコード・更新設定 / 出力：更新済み分析レコード・最新データ・品質向上,分析レコード管理・データ最新化・品質向上・履歴管理・分析最適化,分析レコードエラー・更新失敗・品質劣化・履歴管理エラーのハンドリング,高速分析更新・効率的なレコード管理・分析最適化
更新・アップデート処理,update_analysis_table.py,分析テーブル更新,財務分析テーブルの更新・分析データテーブル構造の最適化・分析結果テーブルの品質向上・テーブル管理更新機能,分析テーブル更新 + 構造最適化,AnalysisResult,1.分析テーブル抽出→2.構造最適化→3.データ更新→4.品質向上→5.テーブル検証→6.分析テーブル更新完了,入力：分析テーブル・構造設定 / 出力：更新済み分析テーブル・構造最適化・品質向上,分析テーブル管理・構造最適化・データ品質向上・テーブル最適化・分析効率化,分析テーブルエラー・構造問題・更新失敗・品質劣化のハンドリング,高速テーブル更新・効率的な構造最適化・分析最適化
更新・アップデート処理,update_cf_categories.py,CF分類更新,キャッシュフロー分類の更新・営業・投資・財務活動分類の改善・CF科目分類の最適化・キャッシュフロー分類管理更新機能,CF分類更新 + 分類最適化,StandardAccount・StandardAccountBalance,1.CF分類抽出→2.分類改善→3.科目分類最適化→4.分類更新→5.CF分類検証→6.CF分類更新完了,入力：CF分類データ・分類設定 / 出力：更新済みCF分類・分類最適化・科目改善,CF分類管理・科目分類最適化・活動分類改善・キャッシュフロー最適化・分類品質,CF分類エラー・分類問題・更新失敗・最適化エラーのハンドリング,高速CF分類更新・効率的な分類最適化・CF最適化
更新・アップデート処理,update_flow_liabilities.py,流動負債更新,流動負債データの更新・短期負債情報の最新化・流動負債科目の品質向上・流動負債管理更新機能,流動負債更新 + データ最新化,StandardAccountBalance,1.流動負債データ抽出→2.短期負債更新→3.科目品質向上→4.データ最新化→5.流動負債検証→6.流動負債更新完了,入力：流動負債データ・更新設定 / 出力：更新済み流動負債・最新データ・品質向上,流動負債管理・短期負債最新化・科目品質向上・負債最適化・データ品質,流動負債エラー・更新失敗・品質劣化・データ最新化エラーのハンドリング,高速流動負債更新・効率的なデータ最新化・負債最適化
更新・アップデート処理,update_liquidity_indicators.py,流動性指標更新,流動性指標の更新・流動比率・当座比率等の流動性指標最新化・流動性分析データの品質向上・流動性評価更新機能,流動性指標更新 + 評価最新化,AnalysisResult・StandardAccountBalance,1.流動性指標抽出→2.比率計算更新→3.評価最新化→4.品質向上→5.流動性検証→6.流動性指標更新完了,入力：流動性指標データ・更新設定 / 出力：更新済み流動性指標・最新評価・品質向上,流動性指標管理・比率最新化・評価品質向上・流動性最適化・指標品質,流動性指標エラー・更新失敗・評価問題・品質劣化のハンドリング,高速流動性更新・効率的な指標最新化・流動性最適化
更新・アップデート処理,update_standard_accounts_with_parent.py,親勘定科目付き標準勘定科目更新,親子関係を含む標準勘定科目の更新・階層構造付き勘定科目データの最新化・親勘定科目関係の品質向上・勘定科目体系更新機能,親子勘定科目更新 + 階層最新化,StandardAccount,1.親子勘定科目抽出→2.階層構造更新→3.関係性最新化→4.体系品質向上→5.勘定科目検証→6.親子勘定科目更新完了,入力：親子勘定科目データ・階層設定 / 出力：更新済み親子勘定科目・階層最新化・体系向上,親子勘定科目管理・階層構造最新化・関係性品質向上・体系最適化・勘定科目品質,親子勘定科目エラー・階層問題・更新失敗・体系エラーのハンドリング,高速勘定科目更新・効率的な階層最新化・体系最適化
テスト・検証,test_ai_mapper.py,AIマッパーテスト,AIマッピング機能の動作テスト・マッピング精度検証・API接続テスト・マッピング結果の妥当性確認・性能テスト機能,テスト自動化 + AI機能検証,AccountMapping・StandardAccount,1.テスト環境準備→2.AIマッピング実行→3.結果検証→4.精度測定→5.性能評価→6.レポート生成,入力：テストデータ・期待結果 / 出力：テスト結果・精度レポート・性能データ,AIマッピング品質保証・精度管理・性能検証・回帰テスト・品質向上,AIテストエラー・精度不足・性能劣化・テスト失敗のハンドリング,高速テスト実行・効率的な検証・自動化テスト
テスト・検証,test_api.py,API機能テスト,REST APIエンドポイントの動作テスト・API応答確認・エラーハンドリングテスト・API性能テスト・レスポンス形式検証機能,APIテスト + 機能検証,全モデル,1.APIテスト準備→2.エンドポイント呼び出し→3.レスポンス検証→4.エラーテスト→5.性能測定→6.テストレポート,入力：APIリクエスト・テストケース / 出力：APIテスト結果・性能データ・品質レポート,API品質保証・機能検証・性能管理・エラー処理確認・信頼性向上,APIテストエラー・接続失敗・レスポンス異常・性能劣化のハンドリング,高速APIテスト・効率的な検証・並列テスト実行
テスト・検証,test_ai_recommendation.py,AI推奨機能テスト,AI推奨システムのテスト・推奨精度検証・AI学習効果測定・推奨アルゴリズムの性能評価機能,AI推奨システム + テスト,AccountMapping・StandardAccount,1.推奨システム準備→2.AI推奨実行→3.精度測定→4.学習効果確認→5.アルゴリズム評価→6.推奨品質レポート,入力：推奨テストデータ・学習データ / 出力：推奨精度結果・学習効果・品質評価,AI推奨品質・学習効果測定・アルゴリズム評価・精度向上・システム改善,推奨エラー・学習失敗・精度不足・アルゴリズム問題のハンドリング,高速推奨テスト・効率的な学習検証・AI性能最適化
テスト・検証,test_account_codes.py,勘定科目コードテスト,勘定科目コード体系のテスト・コード整合性検証・階層関係テスト・コード重複チェック・体系検証機能,コード体系テスト + 整合性検証,StandardAccount,1.コードテスト準備→2.体系整合性確認→3.階層関係検証→4.重複チェック→5.体系品質評価→6.コードテストレポート,入力：勘定科目コード・体系定義 / 出力：コードテスト結果・体系品質・整合性評価,コード体系品質・整合性保証・階層関係管理・重複防止・体系最適化,コードエラー・体系不整合・階層問題・重複エラーのハンドリング,高速コードテスト・効率的な体系検証・整合性チェック最適化
テスト・検証,test_azure_openai.py,Azure OpenAI接続テスト,Azure OpenAI APIの接続テスト・認証確認・API応答テスト・AI機能の動作確認・接続品質評価機能,Azure OpenAI API + 接続テスト,なし,1.API接続準備→2.認証テスト→3.API呼び出し→4.応答検証→5.機能確認→6.接続品質評価,入力：API認証情報・テスト設定 / 出力：接続テスト結果・API品質・機能確認,Azure OpenAI接続管理・API品質保証・認証確認・機能検証・接続最適化,API接続エラー・認証失敗・応答異常・機能不具合のハンドリング,高速API接続・効率的な認証・接続最適化
テスト・検証,test_csv_import.py,CSVインポートテスト,CSVデータインポート機能のテスト・インポート精度検証・データ品質テスト・エラー処理確認・インポート性能評価機能,CSVインポートテスト + データ品質,CSVData,1.インポートテスト準備→2.CSVデータ読み込み→3.インポート実行→4.データ品質確認→5.エラー処理テスト→6.インポート品質評価,入力：テストCSVデータ・インポート設定 / 出力：インポートテスト結果・データ品質・性能評価,CSVインポート品質・データ品質保証・エラー処理確認・性能管理・精度向上,インポートエラー・データ品質問題・エラー処理失敗・性能劣化のハンドリング,高速インポートテスト・効率的なデータ品質確認・性能最適化
テスト・検証,test_data.py,テストデータ管理,テスト用データの作成・管理・検証・テストデータ品質確保・テスト環境データ準備機能,テストデータ管理 + 品質保証,全モデル,1.テストデータ準備→2.データ作成→3.品質確認→4.テスト環境設定→5.データ検証→6.テストデータ管理,入力：テストデータ定義・品質基準 / 出力：テストデータ・品質レポート・テスト環境,テストデータ品質・テスト環境管理・データ整合性・品質保証・テスト効率化,テストデータエラー・品質不足・環境設定失敗・整合性問題のハンドリング,効率的なテストデータ作成・品質管理最適化・テスト環境効率化
テスト・検証,test_openai_minimal.py,OpenAI最小テスト,OpenAI APIの最小限テスト・基本機能確認・接続品質テスト・最小限のAI機能検証機能,OpenAI最小テスト + 基本確認,なし,1.最小テスト準備→2.基本API呼び出し→3.応答確認→4.基本機能検証→5.品質評価→6.最小テストレポート,入力：API設定・最小テストケース / 出力：最小テスト結果・基本品質・機能確認,OpenAI基本機能・最小限検証・品質確認・基本性能・接続確認,基本API エラー・接続失敗・機能不具合・品質不足のハンドリング,最小限テスト最適化・基本機能効率化・軽量テスト
テスト・検証,test_reference_mapping.py,参照マッピングテスト,参照マッピング機能のテスト・マッピング精度検証・参照データ品質確認・学習効果測定・マッピング品質評価機能,参照マッピングテスト + 精度検証,AccountMapping・CSVData,1.参照テスト準備→2.参照マッピング実行→3.精度測定→4.品質確認→5.学習効果評価→6.参照品質レポート,入力：参照テストデータ・マッピング設定 / 出力：参照テスト結果・マッピング精度・品質評価,参照マッピング品質・精度管理・学習効果確認・品質向上・マッピング最適化,参照エラー・精度不足・学習失敗・品質劣化のハンドリング,高速参照テスト・効率的な精度確認・参照最適化
テスト・検証,test_safety_indicators.py,安全性指標テスト,安全性指標計算のテスト・計算精度検証・指標品質確認・リスク評価テスト・安全性分析品質評価機能,安全性指標テスト + 計算精度,AnalysisResult・StandardAccountBalance,1.安全性テスト準備→2.指標計算実行→3.精度検証→4.品質確認→5.リスク評価テスト→6.安全性品質レポート,入力：安全性テストデータ・計算設定 / 出力：安全性テスト結果・計算精度・品質評価,安全性指標品質・計算精度管理・リスク評価品質・分析信頼性・品質向上,安全性計算エラー・精度不足・評価失敗・品質劣化のハンドリング,高速安全性テスト・効率的な計算検証・安全性最適化
初期化・設定,initialize_account_formulas.py,勘定科目計算式初期化,勘定科目計算式の初期設定・階層計算式定義・依存関係設定・計算順序管理・合計科目計算式の自動生成機能,計算式管理 + 初期化処理,AccountFormula・StandardAccount,1.計算式定義読み込み→2.依存関係分析→3.計算順序決定→4.式パラメータ設定→5.データベース保存→6.初期化完了,入力：計算式定義・設定パラメータ / 出力：初期化済み計算式・依存関係データ,計算式システムの初期化・依存関係管理・計算順序制御・式定義管理,計算式エラー・依存関係循環・初期化失敗・データ競合のハンドリング,効率的な初期化・計算式最適化・依存関係処理最適化
初期化・設定,initialize_ja_data.py,JAデータ初期化,JA（農業協同組合）マスタデータの初期化・基本JA情報設定・組織構造初期化・JAコード体系設定・初期データ作成機能,JAマスタ初期化 + 組織管理,JA,1.JA定義読み込み→2.組織構造設定→3.基本情報初期化→4.コード体系設定→5.データベース保存→6.初期化検証,入力：JA定義・組織情報 / 出力：初期化済みJAマスタ・組織構造データ,JAマスタデータ管理・組織構造初期化・コード体系管理・基本情報設定,初期化エラー・データ重複・組織構造エラー・コード競合のハンドリング,効率的なマスタ初期化・組織データ最適化・コード管理最適化
初期化・設定,initialize_ja_data_direct.py,JA直接データ初期化,データベースに直接JAデータを初期化・高速初期化処理・SQL最適化・一括JA登録・直接データベース操作機能,直接初期化 + SQL最適化,JA,1.直接初期化準備→2.SQL最適化→3.一括データ作成→4.高速初期化→5.直接保存→6.初期化検証,入力：JAデータ・初期化設定 / 出力：初期化結果・処理統計・検証レポート,高速JA初期化・直接データベース操作・一括処理・効率化,直接処理エラー・SQL失敗・一括処理問題・初期化失敗のハンドリング,最高速初期化・SQL最適化・直接処理効率化
初期化・設定,initialize_standard_accounts.py,標準勘定科目初期化,標準勘定科目マスタの初期化・勘定科目体系構築・階層関係初期化・表示順序設定・標準分類初期化機能,標準勘定科目管理 + 体系初期化,StandardAccount,1.標準科目定義読み込み→2.体系構造初期化→3.階層関係設定→4.表示順序初期化→5.分類設定→6.初期化完了,入力：標準科目定義・体系設定 / 出力：初期化済み標準科目・体系構造データ,標準勘定科目体系の初期化・階層管理・分類制御・表示管理,初期化エラー・体系不整合・階層問題・分類エラーのハンドリング,効率的な体系初期化・階層処理最適化・分類管理最適化
初期化・設定,ensure_ja006.py,JA006データ保証,特定JA（JA006）データ確認・個別JAデータの存在保証・特定JAの必要データ作成・データ整合性確保機能,個別JA対応 + データ保証,JA・CSVData・StandardAccountBalance,1.JA006データ確認→2.存在保証→3.必要データ作成→4.整合性確保→5.品質検証→6.保証完了,入力：JA006識別情報・保証設定 / 出力：保証結果・データ作成レポート・品質保証,個別JA管理・データ保証・存在確認・品質保証・整合性確保,データ不足・保証失敗・作成エラー・整合性問題のハンドリング,効率的な個別対応・最適化されたデータ保証・高速品質確認
初期化・設定,ensure_ja_exists.py,JA存在保証,JA登録確認・JAマスタデータの存在確認・必要なJAデータの作成・JA情報の整合性確保機能,JA管理 + 存在確認,JA,1.JA存在確認→2.マスタデータチェック→3.必要データ作成→4.情報整合性確保→5.登録確認→6.存在保証完了,入力：JA識別情報・存在設定 / 出力：存在確認結果・作成レポート・整合性保証,JA存在管理・マスタデータ管理・存在保証・整合性確保・データ品質,存在エラー・作成失敗・整合性問題・品質劣化のハンドリング,高速存在確認・効率的なマスタ管理・最適化された保証処理
